rowid,kepid,kepoi_name,fold,actual,lightgbm_balanced_candidate,lightgbm_balanced_confirmed,lightgbm_balanced_false_positive,catboost_balanced_candidate,catboost_balanced_confirmed,catboost_balanced_false_positive,blended_candidate,blended_confirmed,blended_false_positive,predicted,correct
15,10419211,K00742.01,3,FALSE POSITIVE,0.007345326520839597,0.0014802201849261954,0.9911744532942343,0.22584699294785826,0.037815555663328684,0.736337451388813,0.08680047794884639,0.01469306944979983,0.8985064526013538,FALSE POSITIVE,True
16,10464078,K00743.01,4,FALSE POSITIVE,0.3720480164253252,0.04810724244718534,0.5798447411274895,0.30535617021655115,0.44312111151377526,0.25152271826967365,0.347796435985771,0.19174864938049074,0.4604549146337382,FALSE POSITIVE,True
17,10480982,K00744.01,3,FALSE POSITIVE,0.0002873877548606095,0.00024465991930528304,0.9994679523258342,0.04709616514505406,0.02144319992540111,0.9314606349295448,0.017308761351294593,0.007953219921521948,0.9747380187271835,FALSE POSITIVE,True
18,10485250,K00745.01,2,FALSE POSITIVE,0.11233139821603941,0.4680022511185128,0.41966635066544783,0.207086449368409,0.5286224121893942,0.2642911384421967,0.14678778045326474,0.49004594605337876,0.36316627349335656,CONFIRMED,False
19,10526549,K00746.01,2,CONFIRMED,0.0018712002803215875,0.9965460103593415,0.001582789360336876,0.052314544276556935,0.9368965146718194,0.010788941051623695,0.020214234460770808,0.9748552846547881,0.004930480884441174,CONFIRMED,True
20,10583066,K00747.01,2,CONFIRMED,0.0027794419402026533,0.9960866186221138,0.001133939437683585,0.05514768072522004,0.9392547102599456,0.005597609014834458,0.02182243786202716,0.9754204701267798,0.0027570920111929936,CONFIRMED,True
21,10583180,K00748.01,2,FALSE POSITIVE,0.008465645433891073,0.011400607279207574,0.9801337472869014,0.160811768255675,0.17066288576182828,0.6685253459824967,0.06386423555090343,0.06931416309106966,0.866821601358027,FALSE POSITIVE,True
22,10601284,K00749.01,2,CONFIRMED,0.0001478279625797833,0.9998341052135887,1.806682383134001e-05,0.006539447990713476,0.9926057027434415,0.0008548492658449979,0.002472053427355672,0.9972055952244444,0.0003223513481999429,CONFIRMED,True
23,10601284,K00749.02,2,CONFIRMED,0.00012008496165676757,0.9998612487646078,1.8666273735462314e-05,0.005984572144085023,0.9933982334867727,0.0006171943691422746,0.0022526257552670428,0.9975110613908496,0.0002363128538833941,CONFIRMED,True
24,10601284,K00749.03,2,CONFIRMED,0.7601682979784343,0.22709559895423426,0.012736103067331523,0.5925100698254417,0.39414986020345666,0.01334006997110166,0.6992016695591643,0.2878426030448606,0.01295572739597521,CANDIDATE,False
25,2306756,K00113.01,3,FALSE POSITIVE,0.16093366876959184,0.0014566083320123133,0.8376097228983959,0.5597944532771354,0.036470406722973164,0.40373513999989147,0.3059739540450622,0.014188898655998077,0.6798371472989396,FALSE POSITIVE,True
26,10662202,K00750.01,4,CONFIRMED,0.0006670273271079614,0.9993080239387689,2.494873412295808e-05,0.008229526529043739,0.9907885470145872,0.0009819264563691059,0.00341702703690279,0.9962100323299756,0.00037294063312155734,CONFIRMED,True
27,10682541,K00751.01,4,CONFIRMED,0.002963944747621066,0.9968640125021679,0.0001720427502109641,0.05442206605350512,0.9396068527324143,0.00597108121408059,0.021675988858851632,0.9760432271313485,0.0022807840097999192,CONFIRMED,True
28,11460018,K00769.01,2,CONFIRMED,0.000647055440347277,0.9980677308834323,0.001285213676220425,0.047466695375209644,0.9288988666330508,0.023634437991739612,0.017672379053024503,0.9729154166105662,0.009412204336409222,CONFIRMED,True
29,11463211,K00770.01,2,FALSE POSITIVE,0.08210217779131027,0.015377716417242273,0.9025201057914475,0.21886074652848495,0.27558431630495683,0.5055549371665583,0.13183256642301014,0.10999829819459303,0.7581691353823968,FALSE POSITIVE,True
30,11465813,K00771.01,4,FALSE POSITIVE,0.4442933603597311,0.04541835248148383,0.510288287158785,0.26932901836444917,0.16603497880586374,0.5646360028296872,0.3806699632705377,0.08927894387216743,0.5300510928572949,FALSE POSITIVE,True
31,11493732,K00772.01,1,FALSE POSITIVE,0.0469620786090033,0.009337763776972865,0.9437001576140238,0.2409127898424083,0.04570385657254902,0.7133833535850427,0.11748960996660514,0.022561797520818744,0.8599485925125762,FALSE POSITIVE,True
32,11507101,K00773.01,2,CONFIRMED,0.3942724008147682,0.5988082502170403,0.0069193489681915145,0.17434872732918089,0.8101724573018977,0.015478815368921475,0.31430015591091826,0.6756679618842613,0.010031882204820592,CONFIRMED,True
33,10910878,K00757.02,2,CONFIRMED,0.00015064052036150514,0.9998373169333029,1.2042546335670593e-05,0.008047701783820691,0.9910412982141484,0.0009110000020308899,0.003022299161619391,0.996638764671792,0.0003389361665884776,CONFIRMED,True
34,10910878,K00757.03,2,CONFIRMED,7.501806809305712e-05,0.9999219300993265,3.0518325804971505e-06,0.00395928278294849,0.9955859628470444,0.0004547543700071999,0.0014874779644041237,0.9983452147348603,0.0001673073007356618,CONFIRMED,True
35,10987985,K00758.01,5,CONFIRMED,0.0022561808869670345,0.9976300381398151,0.00011378097321796695,0.061961923279472926,0.9299786785173734,0.00805939820315382,0.023967359938787357,0.9730295437316543,0.0030030963295582776,CONFIRMED,True
36,11018648,K00759.01,3,CONFIRMED,0.000853920522524536,0.9990095663618069,0.00013651311566849691,0.0252010361358321,0.9702467120433236,0.0045522518208442695,0.009707417109181835,0.9885503466096311,0.0017422362811869599,CONFIRMED,True
37,11018648,K00759.02,3,CONFIRMED,0.0185380799336206,0.9809393196743663,0.0005226003920130863,0.08987289820644487,0.9027214470933183,0.0074056547002369745,0.04447801385101125,0.9524964569176215,0.0030255292313672282,CONFIRMED,True
38,11138155,K00760.01,5,CONFIRMED,0.06486924250030864,0.9288847590049532,0.006245998494738208,0.16146146830542954,0.7764194028778566,0.062119128816713866,0.09999368824762533,0.8734428113223726,0.026563500430002086,CONFIRMED,True
39,11152159,K00761.01,4,FALSE POSITIVE,0.00011608035865013195,7.624784623913957e-05,0.9998076717951108,0.012816982844389766,0.0042552145927398045,0.9829278025628704,0.004734590353464545,0.0015958721176939272,0.9936695375288416,FALSE POSITIVE,True
40,11153539,K00762.01,2,CONFIRMED,0.0009198698005635863,0.9988095917432092,0.00027053845622730796,0.04436573676595939,0.9458926992617906,0.009741563972249997,0.016718366878889335,0.9795670853863298,0.0037145477347810137,CONFIRMED,True
41,11242721,K00763.01,1,FALSE POSITIVE,0.24403847367076678,0.5580422785854108,0.19791924774382252,0.33001159575846867,0.4976104428472094,0.17237796139432185,0.2753014271572039,0.5360670655897012,0.18863150725309502,CONFIRMED,False
42,9579641,K00115.01,3,CONFIRMED,0.0002454846027337787,0.9997084459208654,4.606947640079448e-05,0.009775155619109402,0.9868843588675388,0.003340485513351967,0.00371081951777946,0.9950451415378375,0.0012440389443830393,CONFIRMED,True
43,11304958,K00764.01,5,CONFIRMED,0.023681557798309723,0.973290353995937,0.0030280882057532373,0.0890232984020253,0.8870581924203135,0.023918509177661286,0.0474421907451154,0.941933204332074,0.01062460492281071,CONFIRMED,True
44,11391957,K00765.01,2,CONFIRMED,0.0027426130582027123,0.9969151734493619,0.0003422134924355075,0.04292089824638795,0.9518675517724329,0.005211549981179249,0.017352898581179166,0.9805342201122967,0.002112881306524141,CONFIRMED,True
45,11403044,K00766.01,2,CONFIRMED,0.0016849946833719601,0.9974657251245336,0.0008492801920944713,0.07572505441824766,0.9001389878245964,0.02413595775715601,0.028608652768781308,0.9620741842881927,0.00931716294302594,CONFIRMED,True
46,11414511,K00767.01,5,CONFIRMED,0.001427069880814983,0.9981686962521507,0.00040423386703436915,0.07160136791250749,0.8736602429694307,0.05473838911806187,0.02694499643779408,0.9528928950584343,0.020162108503771644,CONFIRMED,True
47,11442465,K00768.01,5,FALSE POSITIVE,0.0018410404318868884,0.00011658615881723402,0.9980423734092959,0.03596015158193634,0.013385081152053833,0.9506547672660098,0.014247989940995782,0.0049414934290850894,0.9808105166299191,FALSE POSITIVE,True
48,12110942,K00786.01,1,CONFIRMED,0.0005371760483867561,0.9992098593650551,0.0002529645865581695,0.03146833847838204,0.9624656659544392,0.0060659955671787955,0.011784871477475952,0.9858483344884674,0.002366794034056579,CONFIRMED,True
49,12366084,K00787.01,2,CONFIRMED,8.64101347658782e-05,0.9999016340882098,1.195577702443444e-05,0.005323036246427388,0.9939567076102392,0.0007202561433333955,0.0019906378117337,0.9977398426416749,0.00026951954659132935,CONFIRMED,True
50,12366084,K00787.02,2,CONFIRMED,0.00031211973043029863,0.9996456365823438,4.224368722578612e-05,0.01065601582044295,0.9882060750542794,0.001137909125277559,0.004073536490434899,0.9954857960266842,0.00044066748288097636,CONFIRMED,True
51,12404086,K00788.01,3,CONFIRMED,0.006064538692141826,0.9935485932219187,0.0003868680859394667,0.06770805538947815,0.9233829059284084,0.008909038682113504,0.028480362945718676,0.9680337978424605,0.0034858392118209355,CONFIRMED,True
52,8395660,K00116.01,1,CONFIRMED,0.0005443343641347559,0.9994177130963484,3.79525395168721e-05,0.012138173488714347,0.9862252371531408,0.0016365893581447805,0.004760275863981881,0.9946204491170002,0.0006192750190179298,CONFIRMED,True
53,9579641,K00115.02,3,CONFIRMED,0.00028798539142612604,0.9996802982909678,3.1716317605982014e-05,0.007961538954540737,0.9906356267811209,0.0014028342643383112,0.003078368505285985,0.9963913268328417,0.0005303046618722836,CONFIRMED,True
54,11656840,K00774.01,3,FALSE POSITIVE,0.5263608290320436,0.12848770031347292,0.3451514706544835,0.3619650172882381,0.13453376201883765,0.5035012206929244,0.46658053385247794,0.13068626820633283,0.4027331979411893,CANDIDATE,False
55,11754553,K00775.01,1,CONFIRMED,0.0003902674655520171,0.999593571734719,1.6160799728972604e-05,0.01585398201500293,0.9829842316217576,0.001161786363239321,0.006013436392625078,0.9935538116936422,0.00043275191373273573,CONFIRMED,True
56,11754553,K00775.02,1,CONFIRMED,0.00021891312377115684,0.9997512905265383,2.9796349690455392e-05,0.009402377554009791,0.9896177872621622,0.0009798351838280549,0.0035583547347670247,0.9960663802485834,0.0003752650166495826,CONFIRMED,True
57,11754553,K00775.03,1,CONFIRMED,0.0008983112257008047,0.9990695066172175,3.218215708158766e-05,0.012537840717930966,0.9864511659381721,0.0010109933438970646,0.00513086740469359,0.9944810190975646,0.00038811349774176115,CONFIRMED,True
58,11812062,K00776.01,1,CONFIRMED,0.038468250562929254,0.9416561898955136,0.01987555954155722,0.16704166480892715,0.7372555401765485,0.09570279501452437,0.08522221937965577,0.8673286809067989,0.04744909971354528,CONFIRMED,True
59,11818800,K00777.01,2,CANDIDATE,0.9295148996585046,0.006330317507580618,0.06415478283391463,0.606080751330523,0.2292594263636818,0.16465982230579523,0.8119024820846932,0.08739544800070834,0.10070206991459851,CANDIDATE,True
60,11853255,K00778.01,2,CONFIRMED,0.010064171260530108,0.9887803091948267,0.00115551954464321,0.11017334840421884,0.8744541542311401,0.015372497364640917,0.046467508403689656,0.9472071619353044,0.006325329661006015,CONFIRMED,True
61,11909839,K00779.01,4,FALSE POSITIVE,0.024390809441476525,0.8705257669780326,0.1050834235804908,0.1826267666759062,0.691323336248466,0.1260498970756278,0.08193115752672368,0.8053612467127358,0.11270759576054065,CONFIRMED,False
62,11918099,K00780.01,2,CONFIRMED,0.00011966191141549136,0.9998446256751945,3.571241339005789e-05,0.011643863031197261,0.9853477938171491,0.003008343151653711,0.004310280500427043,0.9945730504540871,0.001116669045485932,CONFIRMED,True
63,11918099,K00780.02,2,CANDIDATE,0.8087682864617526,0.17671788425261126,0.014513829285636236,0.8692435850069558,0.11058341670354889,0.020172998289495463,0.8307593041145537,0.15266898696204312,0.016571708923403226,CANDIDATE,True
64,9579641,K00115.03,3,CANDIDATE,0.9712722999437602,0.013738325835820586,0.014989374220419238,0.8388830547095126,0.14142169594164372,0.019695249348843712,0.9231307562222156,0.0601686422379381,0.016700601539846323,CANDIDATE,True
65,11923270,K00781.01,5,CONFIRMED,0.002841628575893456,0.9969289941924298,0.00022937723167678234,0.06229793006993588,0.9293223162712763,0.008379753658787816,0.024462101846454337,0.9723447476756466,0.0031931504778989765,CONFIRMED,True
66,11960862,K00782.01,4,CONFIRMED,0.006189881758395053,0.9920007491379168,0.0018093691036881548,0.10924238519464557,0.8526792170292662,0.03807839777608828,0.04366351937157706,0.9413383738256802,0.014998106802742744,CONFIRMED,True
67,12020329,K00783.01,1,CONFIRMED,0.0036082666138478278,0.9617170395894431,0.034674693796709004,0.11063415630197583,0.7790163521811178,0.11034949151690646,0.04252677195498529,0.8952804259864157,0.06219280205859899,CONFIRMED,True
68,12066335,K00784.01,4,CONFIRMED,0.00209865521270687,0.9975856464166979,0.0003156983705952823,0.024123112189458208,0.9722207032800725,0.0036561845304692924,0.010107548658798269,0.9883620307306523,0.001530420610549468,CONFIRMED,True
69,12066335,K00784.02,4,CONFIRMED,0.002313446971817056,0.9974834702073831,0.00020308282079988104,0.030323309178248554,0.9662832479153165,0.0033934429064350286,0.012498851410519419,0.9861379348284497,0.0013632137610308437,CONFIRMED,True
70,12070811,K00785.01,2,CONFIRMED,0.002444865968489655,0.9972196797580354,0.0003354542734749057,0.05586362729507769,0.9362378703684938,0.007898502336428536,0.021869870087248944,0.9750444763436567,0.003085653569094408,CONFIRMED,True
71,8395660,K00116.02,1,CONFIRMED,0.0006442661498382261,0.9993284041538444,2.7329696317309258e-05,0.01071491618140217,0.9876154088865169,0.0016696749320808918,0.004306320706770571,0.9950691331475435,0.0006245461456858848,CONFIRMED,True
72,3120431,K00798.01,4,FALSE POSITIVE,0.0008240686615532525,4.922119826475539e-05,0.999126710140182,0.01155526200626367,0.0019014144228300183,0.9865433235709063,0.004726320786902496,0.0007227460071975784,0.9945509332058999,FALSE POSITIVE,True
73,3246984,K00799.01,5,FALSE POSITIVE,0.0022247495813179814,7.650871816509939e-05,0.997698741700517,0.0454910027403508,0.006596324432340972,0.9479126728273083,0.017957932548239006,0.002447350796047235,0.9795947166557137,FALSE POSITIVE,True
74,3342970,K00800.01,3,CONFIRMED,0.001924539588257275,0.9950872825991114,0.002988177812631357,0.033685522078206076,0.9402200607395682,0.026094417182225736,0.013473987766420479,0.9751355655592775,0.011390446674302042,CONFIRMED,True
75,3342970,K00800.02,3,CONFIRMED,0.0024037504680943234,0.9965605142527484,0.0010357352791571556,0.032166987588880085,0.9551961574005943,0.012636855010525683,0.013226745784743693,0.9815189299428743,0.0052543242723820755,CONFIRMED,True
76,12459725,K00789.01,3,FALSE POSITIVE,0.3944151648819056,0.010300545456344115,0.5952842896617503,0.4833706392474539,0.03481852014855208,0.48181084060399404,0.42676261010574135,0.01921617261714701,0.5540212172771116,FALSE POSITIVE,True
77,12470844,K00790.01,1,CONFIRMED,0.0027757214264110264,0.996967481824587,0.0002567967490019608,0.03314478156711062,0.9619647851944404,0.004890433238448943,0.013819016023029061,0.9842392285045337,0.0019417554724372274,CONFIRMED,True
78,12470844,K00790.02,1,CONFIRMED,0.005078732557664232,0.9946225997332386,0.00029866770909713227,0.05834375107692683,0.9355669554768118,0.006089293446261378,0.024447830201032455,0.9731478200036289,0.0024043497953386765,CONFIRMED,True
79,12644822,K00791.01,2,CONFIRMED,0.011402619257644811,0.9779673666733867,0.010630014068968395,0.15809226314937322,0.7084758994198683,0.13343183743075845,0.06474430794554607,0.8799704694902891,0.055285222564164786,CONFIRMED,True
80,2440757,K00792.01,4,FALSE POSITIVE,0.02180556829636637,0.005002283592305524,0.9731921481113281,0.2099871709232086,0.06797572500215249,0.722037104074639,0.09023524197885448,0.02790171683224988,0.8818630411888957,FALSE POSITIVE,True
81,2445129,K00793.01,4,FALSE POSITIVE,9.611990954363947e-05,2.3825134474079495e-05,0.9998800549559823,0.01467707085251443,0.0017462357279063587,0.9835766934195792,0.005398283888805745,0.0006501562593585448,0.9939515598518357,FALSE POSITIVE,True
82,2713049,K00794.01,3,CONFIRMED,0.0011130790678270197,0.9986588595730058,0.00022806135916723648,0.030553264965415633,0.9643488885489285,0.005097846485655786,0.0118186012124047,0.9861825064733413,0.001998892314253982,CONFIRMED,True
83,3114167,K00795.01,4,CONFIRMED,0.007264432852323292,0.9907770007849478,0.001958566362728997,0.09915112861578809,0.8769770385652494,0.023871832818962428,0.04067777676631049,0.9493951963414211,0.009927026892268426,CONFIRMED,True
84,3114661,K00796.01,5,FALSE POSITIVE,0.0001018688099499093,1.905849428228461e-05,0.9998790726957678,0.007911656259395702,0.0008704769007344209,0.9912178668398698,0.0029417915188392893,0.000328665187537607,0.9967295432936231,FALSE POSITIVE,True
85,3115833,K00797.01,1,CANDIDATE,0.638045028950565,0.026418848557136335,0.33553612249229875,0.44616009676788243,0.24863664425488302,0.30520325897723455,0.5682686899750441,0.10722531971995332,0.32450599030500266,CANDIDATE,True
86,4139816,K00812.02,1,CONFIRMED,0.00022020635938680571,0.9997509506379395,2.8843002673708895e-05,0.014553385125897388,0.9836314870201528,0.0018151278539498454,0.005432271365390654,0.9938893275041988,0.0006784011304104858,CONFIRMED,True
87,4139816,K00812.03,1,CONFIRMED,0.0012607739318078186,0.9986069927170982,0.00013223335109403413,0.018409497666415402,0.9793545664205688,0.0022359359130156666,0.0074966734716651225,0.9916061104274512,0.0008972161008837189,CONFIRMED,True
88,8395660,K00116.04,1,CONFIRMED,0.027101093468045793,0.972690276405345,0.00020863012660921146,0.1621113844939676,0.8274612471825092,0.010427368323523162,0.07619574475019918,0.9198797203243138,0.003924534925487013,CONFIRMED,True
89,4139816,K00812.04,1,CONFIRMED,0.0046976812342601725,0.99505404280425,0.0002482759614898008,0.0333946177793591,0.9646108751848095,0.001994507035831527,0.015132930887023423,0.9839838000335444,0.0008832690794322469,CONFIRMED,True
90,4275191,K00813.01,1,CONFIRMED,0.0337727346718175,0.8901119686169705,0.07611529671121203,0.1949092743684187,0.6467905002770147,0.15830022535456667,0.09236784001603612,0.8016314346751683,0.10600072530879553,CONFIRMED,True
91,4476123,K00814.01,2,CONFIRMED,0.0028885718014467427,0.9968593702343864,0.0002520579641668471,0.052941380532695835,0.9399512851497428,0.0071073343175614015,0.021089593158264593,0.9761655211126978,0.0027448857290375945,CONFIRMED,True
92,3351888,K00801.01,2,CONFIRMED,0.00379643961395457,0.9945873554991006,0.001616204886944699,0.048562985844654495,0.889014219486271,0.06242279466907459,0.020075183697845455,0.9561971242217081,0.02372769208044648,CONFIRMED,True
93,3453214,K00802.01,2,CANDIDATE,0.4831838752161781,0.30124449309051404,0.2155716316933079,0.4731070780702696,0.274077914632233,0.25281500729749745,0.47951958534493866,0.2913657372875027,0.22911467736755864,CANDIDATE,True
94,3554600,K00803.01,1,FALSE POSITIVE,0.0003772200099617321,4.436517990342834e-05,0.9995784148101349,0.039054507325498714,0.005912814526899942,0.9550326781476013,0.014441688124702454,0.002178346760629434,0.9833799651146681,FALSE POSITIVE,True
95,3641726,K00804.01,3,CONFIRMED,0.0012465357820148106,0.9973252902218802,0.0014281739961049702,0.0416414117896262,0.9472257258817827,0.011132862328591118,0.015935581602964412,0.9791072668254811,0.004957151571554479,CONFIRMED,True
96,3734868,K00805.01,4,FALSE POSITIVE,0.03327928081345747,0.24440241199785387,0.7223183071886886,0.17794284482977046,0.2759383102276944,0.5461188449425352,0.08588421318302585,0.25587001135415954,0.6582457754628147,FALSE POSITIVE,True
97,3832474,K00806.01,1,CONFIRMED,0.010306918578877328,0.9865056065465244,0.0031874748745982914,0.16118444732872086,0.8170011838426954,0.021814368828583793,0.06517147448791134,0.9248676346542228,0.009960890857865745,CONFIRMED,True
98,8395660,K00116.03,1,CONFIRMED,0.031827374720111705,0.9679967990665671,0.00017582621332134179,0.1935610183420062,0.7976876585682448,0.00875132308974897,0.09063960876443697,0.9060662025217225,0.0032941887138404793,CONFIRMED,True
99,3832474,K00806.02,1,CONFIRMED,0.0032150833342227806,0.9921811885934116,0.004603728072365505,0.1676018818594222,0.7890901209799821,0.04330799716059559,0.06299210097974986,0.9183298912794373,0.01867800774081281,CONFIRMED,True
100,3832474,K00806.03,1,CONFIRMED,0.16515825961625671,0.8242712865883063,0.010570453795436969,0.5142262454788392,0.38287517992462594,0.10289857459653486,0.29209207265719583,0.6637636114378771,0.044144315904927116,CONFIRMED,True
101,3836375,K00807.01,2,FALSE POSITIVE,0.001993255544429555,0.00036412695075753367,0.997642617504813,0.014992621670499156,0.0040865616438454985,0.9809208166856555,0.006720297772091228,0.0017177395664258845,0.9915619626614829,FALSE POSITIVE,True
102,3838486,K00808.01,3,FALSE POSITIVE,0.0001925992564782024,0.00014442263864802567,0.9996629781048738,0.008138351400366521,0.005876330825928775,0.9859853177737047,0.003081963672437592,0.0022287528885682984,0.9946892834389941,FALSE POSITIVE,True
103,3935914,K00809.01,1,CONFIRMED,0.01864357526282037,0.5101201456318639,0.47123627910531574,0.17354054321970686,0.3301242948108362,0.496335161969457,0.07496974542896091,0.444667108969672,0.48036314560136706,FALSE POSITIVE,False
104,3940418,K00810.01,3,CONFIRMED,0.0030735273188243237,0.9955827000227349,0.0013437726584408088,0.031606414829801824,0.9585422520661805,0.009851333104017626,0.0134491227773616,0.9821134462203516,0.004437431002286925,CONFIRMED,True
105,4049131,K00811.01,2,CONFIRMED,0.004963385013234306,0.9944934647608077,0.0005431502259580033,0.08024955657736058,0.9053868327440586,0.014363610678580777,0.0323401746729166,0.9620910531183535,0.005568772208729922,CONFIRMED,True
106,4139816,K00812.01,1,CONFIRMED,0.00035434111266608034,0.9996150251675784,3.0633719755487256e-05,0.011641480094549664,0.9862426681567006,0.0021158517487497785,0.004458755287896475,0.9947523498908956,0.0007888948212079569,CONFIRMED,True
107,5287983,K00828.01,5,FALSE POSITIVE,0.00018756172200380122,1.5944350296303884e-05,0.9997964939277,0.0054459863478202196,0.000690687360530276,0.9938633262916495,0.00209971613139159,0.0002613054449268393,0.9976389784236815,FALSE POSITIVE,True
108,5358241,K00829.01,4,CONFIRMED,0.00041777388559188804,0.9995283556251473,5.387048926067204e-05,0.012512390376291335,0.9856733674044948,0.0018142422192137084,0.004815816245846234,0.9944901780903647,0.000694005663789049,CONFIRMED,True
109,10875245,K00117.02,3,CONFIRMED,0.001977746087804834,0.9978572018909097,0.00016505202128546984,0.01654957778696715,0.9816804339204741,0.0017699882925587818,0.007276593978409315,0.9919747408107513,0.0007486652108394016,CONFIRMED,True
110,5358241,K00829.02,4,CONFIRMED,0.00018524398641851724,0.999803581462672,1.1174550909549105e-05,0.01225014824041605,0.9861172979985305,0.001632553761053407,0.0045724818969630765,0.9948267511120751,0.0006007669909618613,CONFIRMED,True
111,5358241,K00829.03,4,CONFIRMED,0.0006735995326080743,0.9992923709240228,3.4029543369253626e-05,0.027423398588875863,0.9686885590919114,0.003888042319212613,0.010400799189432727,0.9881637120759823,0.001435488734585021,CONFIRMED,True
112,5358624,K00830.01,1,CONFIRMED,0.004186725689762881,0.8668498567504951,0.128963417559742,0.06963603579100613,0.8249203077211784,0.10544365648781538,0.027986474817487703,0.8516027480125617,0.1204107771699505,CONFIRMED,True
113,4544670,K00815.01,3,CANDIDATE,0.45014388742561184,0.2031817545804978,0.3466743579938904,0.4894420806142846,0.4167843293936674,0.09377358999204795,0.4644341394942201,0.2808554181489231,0.25471044235685675,CANDIDATE,True
114,4664847,K00816.01,1,CONFIRMED,0.005565963985159085,0.9923930405387064,0.0020409954761344625,0.13512126094863783,0.8257862629841917,0.03909247606717046,0.052676981062787724,0.9318087577916102,0.015514261145602098,CONFIRMED,True
115,4725681,K00817.01,3,CONFIRMED,0.0005840607073034487,0.9993254155074737,9.052378522289791e-05,0.014733522652582173,0.9830870513454245,0.002179426001993358,0.005729319596495713,0.993420555812183,0.0008501245913212472,CONFIRMED,True
116,4725681,K00817.02,3,CONFIRMED,0.003282072985644272,0.9965278783553493,0.00019004865900642832,0.04927488981370473,0.9454038603859485,0.00532124980034678,0.020006733650393533,0.9779373263664763,0.0020559399831301933,CONFIRMED,True
117,4913852,K00818.01,3,CONFIRMED,0.0011939798768690925,0.998538752168213,0.00026726795491794025,0.05067468745678556,0.9407922701710865,0.0085330423721279,0.019186964451384174,0.9775400314419852,0.0032730041066306535,CONFIRMED,True
